run_id,n,m,K,total_time,phases_count,edges_in_mst,per_phase_max_time_json,edges_added_per_phase_json,notes
1764485146,100,199,10,0.000356,5,99,"[0.000234, 0.000069, 0.000031, 0.000028, 0.000025]","[59, 24, 12, 3, 1]","graph:graph.txt"
1764485600,2001,2902,10,0.136783,4,2000,"[0.038661, 0.043426, 0.025995, 0.026000]","[1635, 312, 47, 6]","graph:graph.txt"
1764485703,10000,15000,10,0.008339,6,9999,"[0.005368, 0.002162, 0.000760, 0.000470, 0.000219, 0.000230]","[7422, 2062, 435, 68, 11, 1]","graph:graph.txt"
1764486352,10000,15000,20,0.011302,6,9999,"[0.008574, 0.001643, 0.000529, 0.000400, 0.000187, 0.000208]","[7422, 2062, 435, 68, 11, 1]","graph:graph.txt"
1764486407,2001,2902,20,0.002039,4,2000,"[0.001622, 0.000258, 0.000113, 0.000079]","[1635, 312, 47, 6]","graph:graph.txt"
1764486599,100,199,20,0.000435,5,99,"[0.000449, 0.000085, 0.000044, 0.000039, 0.000036]","[59, 24, 12, 3, 1]","graph:graph.txt"
1764486610,100,199,30,0.020162,5,99,"[0.020438, 0.006991, 0.000057, 0.000042, 0.000049]","[59, 24, 12, 3, 1]","graph:graph.txt"
1764486651,2001,2902,30,0.090315,4,2000,"[0.041320, 0.029049, 0.021957, 0.025888]","[1635, 312, 47, 6]","graph:graph.txt"
1764486791,10000,15000,30,0.166417,6,9999,"[0.050990, 0.049953, 0.025994, 0.025996, 0.025996, 0.025830]","[7422, 2062, 435, 68, 11, 1]","graph:graph.txt"
1764487153,100,4000,30,0.109383,3,99,"[0.048391, 0.039881, 0.025998]","[79, 18, 2]","graph:graph.txt"
1764487193,100,4000,20,0.001815,3,99,"[0.001691, 0.000077, 0.000032]","[79, 18, 2]","graph:graph.txt"
1764487202,100,4000,10,0.001356,3,99,"[0.001274, 0.000056, 0.000022]","[79, 18, 2]","graph:graph.txt"
1764487370,2000,100000,30,0.161576,5,1999,"[0.111254, 0.036044, 0.025994, 0.025999, 0.025998]","[1523, 385, 79, 11, 1]","graph:graph.txt"
1764487383,2000,100000,20,0.003703,5,1999,"[0.035520, 0.000436, 0.000199, 0.000140, 0.000095]","[1523, 385, 79, 11, 1]","graph:graph.txt"
1764487393,2000,100000,10,0.033886,5,1999,"[0.033581, 0.000266, 0.000116, 0.000086, 0.000054]","[1523, 385, 79, 11, 1]","graph:graph.txt"
1764487528,2000,100000,30,0.146829,5,1999,"[0.106907, 0.021122, 0.016560, 0.022843, 0.024997]","[1523, 385, 79, 11, 1]","graph:graph.txt"
1764487612,10000,150000,30,0.165538,5,9999,"[0.127198, 0.025937, 0.026002, 0.025256, 0.025464]","[7522, 1960, 425, 79, 13]","graph:graph.txt"
1764487629,10000,150000,20,0.009420,5,9999,"[0.056227, 0.002250, 0.000857, 0.000532, 0.000234]","[7522, 1960, 425, 79, 13]","graph:graph.txt"
1764487643,10000,150000,10,0.006971,5,9999,"[0.053165, 0.001532, 0.000721, 0.000404, 0.000177]","[7522, 1960, 425, 79, 13]","graph:graph.txt"
1764489342,4,5,4,0.000285,1,3,"[0.000242]","[3]","graph:graph.txt"
1764489354,4,5,4,0.000160,1,3,"[0.000130]","[3]","graph:graph.txt"
1764489366,4,5,4,0.000457,1,3,"[0.000443]","[3]","graph:graph.txt"
1764489476,8,20,4,0.000480,2,7,"[0.000655, 0.000040]","[6, 1]","graph:graph.txt"
1764489483,8,20,4,0.000509,2,7,"[0.000445, 0.000050]","[6, 1]","graph:graph.txt"
1764489489,8,20,4,0.000451,2,7,"[0.000376, 0.000024]","[6, 1]","graph:graph.txt"
1764489579,16,100,4,0.000284,2,15,"[0.000334, 0.000058]","[12, 3]","graph:graph.txt"
1764489592,16,100,4,0.000133,2,15,"[0.000163, 0.000040]","[12, 3]","graph:graph.txt"
1764489597,16,100,4,0.000584,2,15,"[0.000617, 0.000033]","[12, 3]","graph:graph.txt"
1764489731,32,400,4,0.000426,2,31,"[0.000608, 0.000083]","[27, 4]","graph:graph.txt"
1764489737,32,400,4,0.000220,2,31,"[0.000241, 0.000060]","[27, 4]","graph:graph.txt"
1764489748,32,400,4,0.000366,2,31,"[0.000306, 0.000063]","[27, 4]","graph:graph.txt"
1764489917,8,20,8,0.000377,2,7,"[0.000305, 0.000079]","[6, 1]","graph:graph.txt"
1764489922,8,20,8,0.000242,2,7,"[0.000296, 0.000082]","[6, 1]","graph:graph.txt"
1764489929,8,20,8,0.000210,2,7,"[0.000333, 0.000079]","[6, 1]","graph:graph.txt"
1764490058,16,100,8,0.000332,2,15,"[0.000272, 0.000057]","[11, 4]","graph:graph.txt"
1764490070,16,100,8,0.000405,2,15,"[0.000352, 0.000049]","[11, 4]","graph:graph.txt"
1764490076,16,100,8,0.000323,2,15,"[0.000336, 0.000091]","[11, 4]","graph:graph.txt"
1764490153,32,400,8,0.000640,3,31,"[0.000550, 0.000065, 0.000026]","[20, 10, 1]","graph:graph.txt"
1764490165,32,400,8,0.000782,3,31,"[0.000794, 0.000073, 0.000028]","[20, 10, 1]","graph:graph.txt"
1764490176,32,400,8,0.000456,3,31,"[0.000672, 0.000077, 0.000026]","[20, 10, 1]","graph:graph.txt"
1764490256,64,1600,8,0.000889,3,63,"[0.000804, 0.000079, 0.000029]","[49, 12, 2]","graph:graph.txt"
1764490264,64,1600,8,0.000485,3,63,"[0.000474, 0.000073, 0.000018]","[49, 12, 2]","graph:graph.txt"
1764490269,64,1600,8,0.000361,3,63,"[0.001153, 0.000096, 0.000023]","[49, 12, 2]","graph:graph.txt"
1764490395,16,100,16,0.000274,2,15,"[0.000235, 0.000075]","[13, 2]","graph:graph.txt"
1764490400,16,100,16,0.000468,2,15,"[0.000401, 0.000079]","[13, 2]","graph:graph.txt"
1764490408,16,100,16,0.000237,2,15,"[0.000503, 0.000075]","[13, 2]","graph:graph.txt"
1764490462,32,400,16,0.000288,3,31,"[0.000473, 0.000089, 0.000029]","[24, 5, 2]","graph:graph.txt"
1764490467,32,400,16,0.001077,3,31,"[0.001168, 0.000085, 0.000045]","[24, 5, 2]","graph:graph.txt"
1764490473,32,400,16,0.000523,3,31,"[0.000517, 0.000096, 0.000024]","[24, 5, 2]","graph:graph.txt"
1764490543,64,1600,16,0.001053,3,63,"[0.000934, 0.000107, 0.000034]","[49, 12, 2]","graph:graph.txt"
1764490548,64,1600,16,0.001022,3,63,"[0.000909, 0.000091, 0.000025]","[49, 12, 2]","graph:graph.txt"
1764490553,64,1600,16,0.000405,3,63,"[0.001050, 0.000103, 0.000039]","[49, 12, 2]","graph:graph.txt"
1764490608,128,6400,16,0.000594,3,127,"[0.000486, 0.000102, 0.000032]","[100, 21, 6]","graph:graph.txt"
1764490634,128,6400,16,0.003037,3,127,"[0.003255, 0.000110, 0.000029]","[100, 21, 6]","graph:graph.txt"
1764490640,128,6400,16,0.002135,3,127,"[0.002012, 0.000102, 0.000030]","[100, 21, 6]","graph:graph.txt"
1764490757,32,400,32,0.068953,3,31,"[0.045276, 0.033721, 0.023925]","[25, 5, 1]","graph:graph.txt"
1764490770,32,400,32,0.070127,3,31,"[0.022507, 0.022532, 0.025994]","[25, 5, 1]","graph:graph.txt"
1764490778,32,400,32,0.085697,3,31,"[0.027346, 0.027526, 0.026020]","[25, 5, 1]","graph:graph.txt"
1764490905,64,1600,32,0.083311,3,63,"[0.038307, 0.032737, 0.025996]","[48, 13, 2]","graph:graph.txt"
1764490917,64,1600,32,0.028344,3,63,"[0.008978, 0.014540, 0.017928]","[48, 13, 2]","graph:graph.txt"
1764490923,64,1600,32,0.087362,3,63,"[0.043327, 0.027947, 0.027996]","[48, 13, 2]","graph:graph.txt"
1764491011,128,6400,32,0.082604,3,127,"[0.044596, 0.034609, 0.024867]","[99, 25, 3]","graph:graph.txt"
1764491018,128,6400,32,0.034145,3,127,"[0.019970, 0.011510, 0.013885]","[99, 25, 3]","graph:graph.txt"
1764491023,128,6400,32,0.011345,3,127,"[0.013282, 0.000158, 0.000051]","[99, 25, 3]","graph:graph.txt"
1764491121,256,28000,32,0.088945,3,255,"[0.044709, 0.025951, 0.022879]","[210, 42, 3]","graph:graph.txt"
1764491128,256,28000,32,0.093855,3,255,"[0.030276, 0.019722, 0.038909]","[210, 42, 3]","graph:graph.txt"
1764491135,256,28000,32,0.017916,3,255,"[0.026101, 0.000188, 0.000057]","[210, 42, 3]","graph:graph.txt"
1764681015,256,28000,20,0.008190,3,255,"[0.008050, 0.000098, 0.000037]","[210, 42, 3]","graph:graph.txt"
1764708278,100,199,20,0.000469,5,99,"[0.000316, 0.000100, 0.000044, 0.000041, 0.000040]","[59, 24, 12, 3, 1]","graph:graph.txt"
1764708316,100,4000,20,0.001622,3,99,"[0.001506, 0.000080, 0.000034]","[79, 18, 2]","graph:graph.txt"
1764710382,500,10000,20,0.001301,4,499,"[0.003570, 0.000161, 0.000078, 0.000052]","[383, 96, 16, 4]","graph:graph.txt"
1764711891,300,5000,20,0.001886,4,299,"[0.001689, 0.000103, 0.000054, 0.000032]","[226, 59, 12, 2]","graph:graph.txt"
