run_id,n,m,K,total_time,phases_count,edges_in_mst,per_phase_max_time_json,edges_added_per_phase_json,notes
1764435270,100,199,4,0.000279,5,99,"[0.000268, 0.000054, 0.000023, 0.000016, 0.000024]","[59, 24, 12, 3, 1]","graph:../Input/graph_m.txt"
1764435811,100,199,3,0.000377,5,99,"[0.000201, 0.000099, 0.000025, 0.000015, 0.000023]","[59, 24, 12, 3, 1]","graph:../Input/graph_m.txt"
1764435856,100,199,2,0.000218,5,99,"[0.000140, 0.000046, 0.000021, 0.000013, 0.000012]","[59, 24, 12, 3, 1]","graph:../Input/graph_m.txt"
1764435895,100,199,5,0.000158,5,99,"[0.000181, 0.000026, 0.000014, 0.000011, 0.000016]","[59, 24, 12, 3, 1]","graph:../Input/graph_m.txt"
1764436023,50,70,5,0.000156,3,49,"[0.000111, 0.000017, 0.000009]","[35, 12, 2]","graph:../Input/graph_s.txt"
1764436049,50,70,4,0.000171,3,49,"[0.000179, 0.000039, 0.000013]","[35, 12, 2]","graph:../Input/graph_s.txt"
1764436079,50,70,3,0.000335,3,49,"[0.000214, 0.000098, 0.000018]","[35, 12, 2]","graph:../Input/graph_s.txt"
1764436104,50,70,2,0.000054,3,49,"[0.000052, 0.000010, 0.000004]","[35, 12, 2]","graph:../Input/graph_s.txt"
1764436288,2001,2902,5,0.001619,4,2000,"[0.001094, 0.000422, 0.000099, 0.000057]","[1635, 312, 47, 6]","graph:../Input/graph_h.txt"
1764436326,2001,2902,4,0.001184,4,2000,"[0.001192, 0.000225, 0.000084, 0.000047]","[1635, 312, 47, 6]","graph:../Input/graph_h.txt"
1764436340,2001,2902,3,0.001031,4,2000,"[0.000928, 0.000247, 0.000092, 0.000052]","[1635, 312, 47, 6]","graph:../Input/graph_h.txt"
1764436403,2001,2902,2,0.001086,4,2000,"[0.001263, 0.000268, 0.000092, 0.000048]","[1635, 312, 47, 6]","graph:../Input/graph_h.txt"
1764437089,1000,1500,5,0.001448,4,999,"[0.000932, 0.000355, 0.000150, 0.000055]","[741, 209, 41, 8]","graph:../Input/graph_l.txt"
1764437118,1000,1500,4,0.001182,4,999,"[0.001049, 0.000299, 0.000134, 0.000057]","[741, 209, 41, 8]","graph:../Input/graph_l.txt"
1764437133,1000,1500,3,0.001173,4,999,"[0.000722, 0.000287, 0.000114, 0.000049]","[741, 209, 41, 8]","graph:../Input/graph_l.txt"
1764437158,1000,1500,2,0.000573,4,999,"[0.000323, 0.000183, 0.000060, 0.000025]","[741, 209, 41, 8]","graph:../Input/graph_l.txt"
